id,symbols,countries,date,value
99,ARS,Argentine Peso,2023-08-10,314.257407
100,ARS,Argentine Peso,2023-08-11,314.514925
101,ARS,Argentine Peso,2023-08-12,314.514925
102,ARS,Argentine Peso,2023-08-13,314.712275
103,ARS,Argentine Peso,2023-08-14,313.004138
104,ARS,Argentine Peso,2023-08-15,381.943845
105,AUD,Australian Dollar,2023-08-01,1.663464
106,AUD,Australian Dollar,2023-08-02,1.672595
107,AUD,Australian Dollar,2023-08-03,1.669191
108,AUD,Australian Dollar,2023-08-04,1.674241
109,AUD,Australian Dollar,2023-08-05,1.674241
110,AUD,Australian Dollar,2023-08-06,1.673778
111,AUD,Australian Dollar,2023-08-07,1.67412
112,AUD,Australian Dollar,2023-08-08,1.677808
113,AUD,Australian Dollar,2023-08-09,1.679625
114,AUD,Australian Dollar,2023-08-10,1.686243
115,AUD,Australian Dollar,2023-08-11,1.686486
116,AUD,Australian Dollar,2023-08-12,1.686486
117,AUD,Australian Dollar,2023-08-13,1.686549
118,AUD,Australian Dollar,2023-08-14,1.682921
119,AUD,Australian Dollar,2023-08-15,1.67743
120,AWG,Aruban Florin,2023-08-01,1.981375
121,AWG,Aruban Florin,2023-08-02,1.969882
122,AWG,Aruban Florin,2023-08-03,1.97399
123,AWG,Aruban Florin,2023-08-04,1.987233
124,AWG,Aruban Florin,2023-08-05,1.987233
125,AWG,Aruban Florin,2023-08-06,1.983188
126,AWG,Aruban Florin,2023-08-07,1.983254
127,AWG,Aruban Florin,2023-08-08,1.975288
128,AWG,Aruban Florin,2023-08-09,1.978671
129,AWG,Aruban Florin,2023-08-10,1.979398
130,AWG,Aruban Florin,2023-08-11,1.9762
131,AWG,Aruban Florin,2023-08-12,1.9762
132,AWG,Aruban Florin,2023-08-13,1.976204
133,AWG,Aruban Florin,2023-08-14,1.967321
134,AWG,Aruban Florin,2023-08-15,1.964722
135,AZN,Azerbaijani Manat,2023-08-01,1.872559
136,AZN,Azerbaijani Manat,2023-08-02,1.860475
137,AZN,Azerbaijani Manat,2023-08-03,1.864018
138,AZN,Azerbaijani Manat,2023-08-04,1.878605
